istanza,Q,n,K,obiettivo,variante,stato,obj,bound,gap,tempo,nodi_bb,veicoli,costo,regret,regret_grezzo,regret_max,regret_max_grezzo,rifiuti,ar,regret_medio_servito,time_limit,mip_gap,nota
Trieste_Q6.40.1,6,40,8,frmax,II,ottimo,14.508399999999995,14.508399999999995,0.0,0.22099995613098145,1.0,8,308.8153,180.05040000000008,210.37320000000022,14.508399999999966,14.508399999999995,0,100.0,4.501260000000002,600.0,0.0,
Trieste_Q6.40.1,6,40,8,fcrmax,II,ottimo,402.5904000000001,402.5904000000001,0.0,0.35199999809265137,282.0,8,283.30719999999997,181.08240000000004,234.29000000000013,14.91040000000001,14.910400000000038,0,100.0,4.5270600000000005,600.0,0.0,
Trieste_Q6.40.2,6,40,8,fc,II,ottimo,263.6511,263.6511,0.0,0.10400009155273438,1.0,8,263.6511,218.32799999999995,360.7562980669144,21.1524,27.430399999999963,0,100.0,5.458199999999999,600.0,0.0,
Trieste_Q6.40.2,6,40,8,fr,II,ottimo,89.28759999999878,89.28759999999784,0.0,0.23799991607666016,1.0,8,298.711,89.28759999999994,89.28759999999886,14.578000000000003,14.578000000000003,0,100.0,2.2321899999999983,600.0,0.0,
Trieste_Q6.40.2,6,40,8,fcr,II,ottimo,378.352199999998,378.35219999999754,0.0,0.17499995231628418,1.0,8,288.893,89.45919999999994,89.45919999999927,14.578000000000003,14.578000000000003,0,100.0,2.2364799999999985,600.0,0.0,
Trieste_Q6.40.2,6,40,8,frcr,II,ottimo,318.1896999999995,318.18969999999916,0.0,0.053999900817871094,1.0,8,197.0321,21.15759999999998,21.157599999999498,8.875599999999999,8.875599999999999,5,87.5,0.6045028571428566,600.0,0.0,
Trieste_Q6.40.2,6,40,8,frmax,II,ottimo,14.578000000000003,14.578000000000003,0.0,0.03600001335144043,1.0,8,309.4457,140.6055999999999,164.52399999999977,14.578000000000003,14.578000000000003,0,100.0,3.5151399999999975,600.0,0.0,
Trieste_Q6.40.2,6,40,8,fcrmax,II,ottimo,389.4667,389.4667,0.0,0.07700014114379883,1.0,8,272.8427,181.58559999999989,229.58208069704705,14.578000000000003,14.578000000000003,0,100.0,4.539639999999997,600.0,0.0,
Trieste_Q6.40.3,6,40,8,fc,II,ottimo,257.563,257.563,0.0,0.04200005531311035,1.0,8,257.563,177.63239999999996,301.8958,16.47120000000001,18.0004,0,100.0,4.440809999999999,600.0,0.0,
Trieste_Q6.40.3,6,40,8,fr,II,ottimo,86.87400000000007,86.87400000000007,0.0,0.14499998092651367,1.0,8,304.2488,86.87400000000007,86.87400000000007,14.115200000000002,14.115200000000002,0,100.0,2.171850000000002,600.0,0.0,
Trieste_Q6.40.3,6,40,8,fcr,II,ottimo,374.44689999999963,374.44689999999855,0.0,0.13100004196166992,1.0,8,280.8065,93.64040000000004,93.64039999999966,14.115200000000002,14.115200000000044,0,100.0,2.341010000000001,600.0,0.0,
Trieste_Q6.40.3,6,40,8,frcr,II,ottimo,324.5850999999999,324.5850999999999,0.0,0.06200003623962402,1.0,8,230.4203,14.16480000000007,14.1647999999999,4.498399999999997,4.498399999999997,4,90.0,0.39346666666666863,600.0,0.0,
Trieste_Q6.40.3,6,40,8,frmax,II,ottimo,14.115200000000002,14.115200000000002,0.0,0.05099987983703613,1.0,8,301.6909,150.3896,218.17879999999977,14.115200000000002,14.115200000000002,0,100.0,3.75974,600.0,0.0,
Trieste_Q6.40.3,6,40,8,fcrmax,II,ottimo,376.2886000000001,376.2886000000001,0.0,0.06699991226196289,1.0,8,263.367,173.55239999999998,205.66639999999825,14.115200000000002,14.115200000000002,0,100.0,4.33881,600.0,0.0,
Trieste_Q6.40.4,6,40,9,fc,II,ottimo,262.55859999999996,262.55859999999996,0.0,0.04199981689453125,1.0,9,262.5586,156.14199999999997,279.61240000000004,14.36239999999998,16.222000000000065,0,100.0,3.903549999999999,600.0,0.0,
Trieste_Q6.40.4,6,40,9,fr,II,ottimo,88.24079999999972,88.24079999999728,0.0,0.06699991226196289,1.0,9,294.9962,88.24080000000001,88.24079999999978,13.071600000000004,13.071600000000004,0,100.0,2.20602,600.0,0.0,
Trieste_Q6.40.4,6,40,9,fcr,II,ottimo,366.9520999999999,366.9520999999999,0.0,0.06999993324279785,1.0,9,277.6669,89.28519999999999,89.28519999999995,13.071600000000004,13.071600000000004,0,100.0,2.2321299999999997,600.0,0.0,
Trieste_Q6.40.4,6,40,9,frcr,II,ottimo,320.80510000000004,320.80510000000004,0.0,0.0410001277923584,1.0,9,240.4483,20.356799999999986,20.356799999999993,8.452799999999996,8.452799999999996,3,92.5,0.5501837837837834,600.0,0.0,
Trieste_Q6.40.4,6,40,9,frmax,II,ottimo,12.914399999999953,12.914399999999953,0.0,0.01900005340576172,1.0,9,291.5674,138.23319999999998,163.30839999999952,12.914399999999993,12.914399999999993,0,100.0,3.4558299999999997,600.0,0.0,
Trieste_Q6.40.4,6,40,9,fcrmax,II,ottimo,366.2505999999991,366.2505999999991,0.0,0.05500006675720215,1.0,9,262.9354,153.1756,225.45879999999906,12.914399999999993,12.914399999999993,0,100.0,3.82939,600.0,0.0,
Trieste_Q3.60.1,3,60,10,fc,II,ottimo,377.34039999999993,377.34039999999993,0.0,2.4600000381469727,2175.0,10,377.3404,476.3504000000001,605.7354000000005,27.715600000000023,28.070600000000013,0,100.0,7.9391733333333345,600.0,0.0,
Trieste_Q3.60.1,3,60,10,fr,II,ottimo,299.5971994654546,299.5971994654546,0.0,28.072999954223633,18333.0,10,427.3582,299.59720000000004,299.5971994654556,26.626800000000003,26.626799999999946,0,100.0,4.993286666666667,600.0,0.0,
Trieste_Q3.60.1,3,60,10,fcr,II,ottimo,716.047599999998,716.047599999998,0.0,19.960999965667725,15957.0,10,410.3308,305.71680000000003,305.7167999999988,26.626800000000003,26.626799999999974,0,100.0,5.095280000000001,600.0,0.0,
Trieste_Q3.60.1,3,60,10,frcr,II,ottimo,549.3842999999998,549.3842999999998,0.0,4.406000137329102,2362.0,10,343.6327,25.751599999999996,25.751599999999826,14.585999999999999,14.585999999999999,9,85.0,0.5049333333333332,600.0,0.0,
Trieste_Q3.60.1,3,60,10,frmax,II,ottimo,26.626799999999896,26.626799999999896,0.0,4.341000080108643,2306.0,10,438.6376,451.8412,641.1805999999993,26.626800000000003,26.626800000000003,0,100.0,7.530686666666667,600.0,0.0,
Trieste_Q3.60.1,3,60,10,fcrmax,II,ottimo,698.3773000000001,698.3773000000001,0.0,3.8610000610351562,2347.0,10,378.8557,470.3316000000001,602.0198,26.626800000000003,26.626800000000003,0,100.0,7.838860000000001,600.0,0.0,
Trieste_Q3.60.2,3,60,9,fc,II,ottimo,368.1326,368.1326,0.0,0.8289999961853027,1.0,9,368.1326,542.5832,561.5921999999952,33.15080000000001,33.15080000000001,0,100.0,9.043053333333335,600.0,0.0,
Trieste_Q3.60.2,3,60,9,fr,II,ottimo,276.45080000002633,276.45080000002633,0.0,15.085000038146973,5374.0,9,427.7092,276.4508000000001,276.4508000000659,25.786000000000016,25.786000000039635,0,100.0,4.607513333333334,600.0,0.0,
Trieste_Q3.60.2,3,60,9,fcr,II,ottimo,700.7991856757983,700.7991856757983,0.0,11.858000040054321,5692.0,9,421.05,279.7492000000001,279.7491856757992,25.786000000000016,25.786000000000016,0,100.0,4.662486666666668,600.0,0.0,
Trieste_Q3.60.2,3,60,9,frcr,II,ottimo,502.8750980802498,502.8750980802498,0.0,3.8369998931884766,1.0,9,316.8535,26.02159999999998,26.021598079761986,11.482799999999997,11.482799999999855,8,86.66666666666667,0.5004153846153843,600.0,0.0,
